_id,Response,Actors,imdbID,Director,Writer,Awards,Title,Rated,imdbVotes,imdbRating,Type,Genre,Released,Poster,Runtime,Metascore,Language,Country
56fb965e71a0650fe43395f3,True,"Prince, Apollonia Kotero, Morris Day, Olga Karlatos",tt0087957,Albert Magnoli,"Albert Magnoli, William Blinn",Won 1 Oscar. Another 4 wins & 4 nominations.,Purple Rain,R,11625.0,6.3,movie,"Drama, Music, Musical",27 Jul 1984,http://ia.media-imdb.com/images/M/MV5BMTk1ODQ1MzgxM15BMl5BanBnXkFtZTcwMTM1NzMyMQ@@._V1_SX300.jpg,111.0,45.0,English,USA
56fb965e71a0650fe43395f4,True,"F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice",tt0086879,Milos Forman,"Peter Shaffer (original stage play), Peter Shaffer (original screenplay)",Won 8 Oscars. Another 33 wins & 14 nominations.,Amadeus,R,260364.0,8.3,movie,"Biography, Drama, Music",05 Apr 1985,http://ia.media-imdb.com/images/M/MV5BMTg5NDkwMTk5N15BMl5BanBnXkFtZTYwODg3MDk2._V1_SX300.jpg,160.0,93.0,"English, Italian, Latin, German","USA, France"
56fb965e71a0650fe43395f5,True,"Clint Eastwood, Geneviève Bujold, Dan Hedaya, Alison Eastwood",tt0088272,Richard Tuggle,Richard Tuggle (screenplay),1 nomination.,Tightrope,R,11114.0,6.3,movie,"Mystery, Thriller",17 Aug 1984,http://ia.media-imdb.com/images/M/MV5BMTM1ODUzNDI5NF5BMl5BanBnXkFtZTYwNjc4NDE5._V1_SX300.jpg,114.0,0.0,English,USA
56fb965e71a0650fe43395f6,True,"Robert Redford, Robert Duvall, Glenn Close, Kim Basinger",tt0087781,Barry Levinson,"Bernard Malamud (novel), Roger Towne, Phil Dusenberry",Nominated for 4 Oscars. Another 3 wins & 4 nominations.,The Natural,PG,33721.0,7.5,movie,"Drama, Sport",11 May 1984,http://ia.media-imdb.com/images/M/MV5BMTQ0MzQ4ODQzNV5BMl5BanBnXkFtZTcwNTY2NzI0MQ@@._V1_SX300.jpg,138.0,0.0,English,USA
56fb965e71a0650fe43395f7,True,"Ralph Richardson, Ian Holm, James Fox, Christopher Lambert",tt0087365,Hugh Hudson,"Edgar Rice Burroughs (novel), Robert Towne, Michael Austin",Nominated for 3 Oscars. Another 3 wins & 12 nominations.,"Greystoke: The Legend of Tarzan, Lord of the Apes",PG,14301.0,6.3,movie,"Adventure, Drama",30 Mar 1984,http://ia.media-imdb.com/images/M/MV5BMTM5MzcwOTg4MF5BMl5BanBnXkFtZTgwOTQwMzQxMDE@._V1_SX300.jpg,135.0,0.0,"English, French","UK, USA"
56fb965e71a0650fe43395f8,True,"Robert Carradine, Anthony Edwards, Timothy Busfield, Andrew Cassese",tt0088000,Jeff Kanew,"Tim Metcalfe (story), Miguel Tejada-Flores (story), Steve Zacharias (story), Jeff Buhai (story), Steve Zacharias (screenplay), Jeff Buhai (screenplay)",,Revenge of the Nerds,R,38824.0,6.6,movie,Comedy,10 Aug 1984,http://ia.media-imdb.com/images/M/MV5BODU1NzM4NTA4Nl5BMl5BanBnXkFtZTgwMTkxMzcxMTE@._V1_SX300.jpg,90.0,41.0,English,USA
56fb965e71a0650fe43395f9,True,"Roy Scheider, John Lithgow, Helen Mirren, Bob Balaban",tt0086837,Peter Hyams,"Arthur C. Clarke (novel), Peter Hyams (screenplay)",Nominated for 5 Oscars. Another 1 win & 3 nominations.,2010,PG,40224.0,6.8,movie,"Mystery, Sci-Fi, Thriller",07 Dec 1984,http://ia.media-imdb.com/images/M/MV5BMTkzOTk4NTcyOV5BMl5BanBnXkFtZTgwOTE4NjkzMTE@._V1_SX300.jpg,116.0,0.0,"English, Russian",USA
56fb965e71a0650fe43395fa,True,"Lucinda Dickey, Adolfo Quinones, Michael Chambers, Ben Lokey",tt0086998,Joel Silberg,"Charles Parker (story), Allen DeBevoise (story), Charles Parker (screenplay), Allen DeBevoise (screenplay), Gerald Scaife (screenplay)",1 nomination.,Breakin',PG,4303.0,5.6,movie,"Comedy, Drama, Music",04 May 1984,http://ia.media-imdb.com/images/M/MV5BMTQzNTkwODIzNl5BMl5BanBnXkFtZTcwMTY2MzAwMQ@@._V1_SX300.jpg,90.0,0.0,English,USA
56fb965e71a0650fe43395fb,True,"Tom Hanks, Tawny Kitaen, Adrian Zmed, George Grizzard",tt0086927,Neal Israel,"Bob Israel (story), Neal Israel (screenplay), Pat Proft (screenplay)",,Bachelor Party,R,27861.0,6.3,movie,Comedy,29 Jun 1984,http://ia.media-imdb.com/images/M/MV5BMTgxMjMzNjcyN15BMl5BanBnXkFtZTcwNjg3ODIyMQ@@._V1_SX300.jpg,105.0,0.0,"English, Japanese",USA
56fb965e71a0650fe43395fc,True,"Arnold Schwarzenegger, Michael Biehn, Linda Hamilton, Paul Winfield",tt0088247,James Cameron,"James Cameron, Gale Anne Hurd, William Wisher Jr. (additional dialogue)",5 wins & 6 nominations.,The Terminator,R,575339.0,8.1,movie,"Action, Sci-Fi",26 Oct 1984,http://ia.media-imdb.com/images/M/MV5BODE1MDczNTUxOV5BMl5BanBnXkFtZTcwMTA0NDQyNA@@._V1_SX300.jpg,107.0,83.0,"English, Spanish","UK, USA"
56fb965e71a0650fe43395fd,True,"Clint Eastwood, Burt Reynolds, Jane Alexander, Madeline Kahn",tt0087062,Richard Benjamin,"Blake Edwards (story), Blake Edwards, Joseph Stinson",1 nomination.,City Heat,PG,6737.0,5.4,movie,"Action, Comedy, Crime",07 Dec 1984,http://ia.media-imdb.com/images/M/MV5BMjA5NTMzNjcxN15BMl5BanBnXkFtZTcwNjI4MTAwMQ@@._V1_SX300.jpg,93.0,0.0,English,USA
56fb965e71a0650fe43395fe,True,"Steve Martin, Lily Tomlin, Victoria Tennant, Madolyn Smith Osborne",tt0086873,Carl Reiner,"Edwin Davis (novel), Henry Olek (adaptation), Phil Alden Robinson (screenplay)",Nominated for 2 Golden Globes. Another 2 wins.,All of Me,PG-13,12793.0,6.7,movie,"Comedy, Fantasy, Romance",21 Sep 1984,http://ia.media-imdb.com/images/M/MV5BMjI1OTU4MTM2M15BMl5BanBnXkFtZTgwNTU4NzgxMTE@._V1_SX300.jpg,93.0,0.0,English,USA
56fb965e71a0650fe43395ff,True,"Sally Field, Lindsay Crouse, Ed Harris, Amy Madigan",tt0087921,Robert Benton,Robert Benton,Won 2 Oscars. Another 11 wins & 14 nominations.,Places in the Heart,PG,7426.0,7.3,movie,Drama,05 Oct 1984,http://ia.media-imdb.com/images/M/MV5BMTM4MDM4ODkxMl5BMl5BanBnXkFtZTYwMjYwOTQ5._V1_SX300.jpg,111.0,0.0,English,USA
56fb965e71a0650fe4339600,True,"Sam Waterston, Haing S. Ngor, John Malkovich, Julian Sands",tt0087553,Roland Joffé,Bruce Robinson (screenplay),Won 3 Oscars. Another 24 wins & 22 nominations.,The Killing Fields,R,41126.0,7.9,movie,"Drama, History, War",01 Feb 1985,http://ia.media-imdb.com/images/M/MV5BMjE3OTEwMjk2Nl5BMl5BanBnXkFtZTcwOTgwNTMyMQ@@._V1_SX300.jpg,141.0,0.0,"English, French, Khmer, Russian",UK
56fb965e71a0650fe4339601,True,"Arnold Schwarzenegger, Grace Jones, Wilt Chamberlain, Mako",tt0087078,Richard Fleischer,"Robert E. Howard (character), Roy Thomas (story), Gerry Conway (story), Stanley Mann (screenplay)",1 win & 3 nominations.,Conan the Destroyer,PG,60240.0,5.8,movie,"Action, Adventure, Fantasy",29 Jun 1984,http://ia.media-imdb.com/images/M/MV5BMTM2NTEwODA3M15BMl5BanBnXkFtZTcwNTk2NjEzNA@@._V1_SX300.jpg,103.0,0.0,English,USA
56fb965e71a0650fe4339602,True,"Francesca Annis, Leonardo Cimino, Brad Dourif, José Ferrer",tt0087182,David Lynch,"Frank Herbert (novel), David Lynch (screenplay)",Nominated for 1 Oscar. Another 2 wins & 4 nominations.,Dune,PG-13,95099.0,6.6,movie,"Action, Adventure, Sci-Fi",14 Dec 1984,http://ia.media-imdb.com/images/M/MV5BNTkxMjkxNzg3Nl5BMl5BanBnXkFtZTgwNjUyMDI3NjE@._V1_SX300.jpg,137.0,0.0,"English, Italian",USA
56fb965e71a0650fe4339603,True,"Jeff Bridges, Karen Allen, Charles Martin Smith, Richard Jaeckel",tt0088172,John Carpenter,"Bruce A. Evans, Raynold Gideon",Nominated for 1 Oscar. Another 1 win & 5 nominations.,Starman,PG,32229.0,7.0,movie,"Adventure, Drama, Romance",14 Dec 1984,http://ia.media-imdb.com/images/M/MV5BODg5ODI0NzM5M15BMl5BanBnXkFtZTgwNDk5MjQxMDE@._V1_SX300.jpg,115.0,71.0,English,USA
56fb965e71a0650fe4339604,True,"Kay E. Kuter, Dan Mason, Lance Guest, Dan O'Herlihy",tt0087597,Nick Castle,Jonathan R. Betuel,4 nominations.,The Last Starfighter,PG,28211.0,6.7,movie,"Action, Adventure, Sci-Fi",13 Jul 1984,http://ia.media-imdb.com/images/M/MV5BMTk4NDY2NTA2MV5BMl5BanBnXkFtZTYwNjI2Mjg4._V1_SX300.jpg,101.0,0.0,English,USA
56fb965e71a0650fe4339605,True,"Burt Reynolds, Frank Sinatra, Jamie Farr, Dom DeLuise",tt0087032,Hal Needham,"Brock Yates (characters creator), Hal Needham, Albert S. Ruddy, Harvey Miller",1 win & 8 nominations.,Cannonball Run II,PG,11411.0,4.8,movie,"Action, Comedy",29 Jun 1984,http://ia.media-imdb.com/images/M/MV5BMjUwMzQzOTA0M15BMl5BanBnXkFtZTYwMTkwMzc5._V1_SX300.jpg,108.0,0.0,English,"USA, Hong Kong"
56fb965e71a0650fe4339606,True,"Nick Nolte, JoBeth Williams, Judd Hirsch, Ralph Macchio",tt0088242,Arthur Hiller,W.R. McKinney,,Teachers,R,3042.0,6.0,movie,"Comedy, Drama",05 Oct 1984,http://ia.media-imdb.com/images/M/MV5BMTg4OTg4ODI2MF5BMl5BanBnXkFtZTcwOTM2NzI5NA@@._V1_SX300.jpg,107.0,0.0,English,USA
56fb965e71a0650fe4339607,True,"Judy Davis, Victor Banerjee, Peggy Ashcroft, James Fox",tt0087892,David Lean,"E.M. Forster (by), E.M. Forster (based on the novel by), Santha Rama Rau (and the play by), David Lean (screenplay)",Won 2 Oscars. Another 19 wins & 26 nominations.,A Passage to India,PG,12586.0,7.4,movie,"Adventure, Drama, History",01 Feb 1985,http://ia.media-imdb.com/images/M/MV5BMjI4MzMzMTUzMV5BMl5BanBnXkFtZTgwNzAzMDUxMDE@._V1_SX300.jpg,164.0,0.0,"English, Hindi","UK, USA"
56fb965e71a0650fe4339608,True,"Goldie Hawn, Chris Sarandon, Richard Romanus, Andre Gregory",tt0087951,Herbert Ross,"Buck Henry (screenplay), Charles Shyer (story), Nancy Meyers (story), Harvey Miller (story)",,Protocol,PG,3380.0,5.4,movie,Comedy,21 Dec 1984,http://ia.media-imdb.com/images/M/MV5BMjEwOTY0MTUzNl5BMl5BanBnXkFtZTcwMDkxNjEyMQ@@._V1_SX300.jpg,96.0,0.0,English,USA
56fb965e71a0650fe4339609,True,"Richard Gere, Gregory Hines, Diane Lane, Lonette McKee",tt0087089,Francis Ford Coppola,"William Kennedy (screenplay), Francis Ford Coppola (screenplay), William Kennedy (story), Francis Ford Coppola (story), Mario Puzo (story), Jim Haskins (pictorial history \",Nominated for 2 Oscars. Another 1 win & 6 nominations.,The Cotton Club,R,12484.0,6.5,movie,"Crime, Drama, Music",14 Dec 1984,http://ia.media-imdb.com/images/M/MV5BMTU5ODAyNzA4OV5BMl5BanBnXkFtZTcwNzYwNTIzNA@@._V1_SX300.jpg,127.0,0.0,"English, Italian",USA
56fb965e71a0650fe433960a,True,"Jim Henson, Frank Oz, Dave Goelz, Steve Whitmire",tt0087755,Frank Oz,"Tom Patchett (story), Jay Tarses (story), Frank Oz (screenplay), Tom Patchett (screenplay), Jay Tarses (screenplay)",Nominated for 1 Oscar. Another 2 nominations.,The Muppets Take Manhattan,G,14795.0,6.9,movie,"Comedy, Drama, Family",13 Jul 1984,http://ia.media-imdb.com/images/M/MV5BOTc4Mjk4MDA0OV5BMl5BanBnXkFtZTcwNDkxMTUyMQ@@._V1_SX300.jpg,94.0,0.0,English,USA
56fb965e71a0650fe433960b,True,"John Saxon, Ronee Blakley, Heather Langenkamp, Amanda Wyss",tt0087800,Wes Craven,Wes Craven,2 wins & 3 nominations.,A Nightmare on Elm Street,R,143632.0,7.5,movie,Horror,16 Nov 1984,http://ia.media-imdb.com/images/M/MV5BMTk0NDI3NTEwMV5BMl5BanBnXkFtZTgwNjgwNDgwNzE@._V1_SX300.jpg,91.0,78.0,English,USA
56fb965e71a0650fe433960c,True,"Gene Wilder, Charles Grodin, Joseph Bologna, Judith Ivey",tt0088414,Gene Wilder,"Jean-Loup Dabadie (screenplay), Yves Robert (screenplay), Gene Wilder",Won 1 Oscar. Another 1 win & 1 nomination.,The Woman in Red,PG-13,9607.0,5.8,movie,"Comedy, Romance",15 Aug 1984,http://ia.media-imdb.com/images/M/MV5BMTUwOTE5NDk2NV5BMl5BanBnXkFtZTYwODY4NTk4._V1_SX300.jpg,87.0,0.0,English,USA
56fb965e71a0650fe433960d,True,"Robin Williams, Maria Conchita Alonso, Cleavant Derricks, Alejandro Rey",tt0087747,Paul Mazursky,"Paul Mazursky, Leon Capetanos",Nominated for 1 Golden Globe. Another 1 nomination.,Moscow on the Hudson,R,8516.0,6.5,movie,"Comedy, Drama, Romance",06 Apr 1984,http://ia.media-imdb.com/images/M/MV5BMjU4NTQ1NTQ4OF5BMl5BanBnXkFtZTcwMjAwNDkxMQ@@._V1_SX300.jpg,115.0,0.0,"English, Russian",USA
56fb965e71a0650fe433960e,True,"Matt Dillon, Hector Elizondo, Molly McCarthy, Martha Gehman",tt0087265,Garry Marshall,"Neal Marshall (story), Garry Marshall",,The Flamingo Kid,PG-13,3841.0,6.2,movie,"Comedy, Drama, Romance",21 Dec 1984,http://ia.media-imdb.com/images/M/MV5BMTQ2ODIwODU2Nl5BMl5BanBnXkFtZTcwNDU4OTAyMQ@@._V1_SX300.jpg,100.0,0.0,English,USA
56fb965e71a0650fe433960f,True,"Molly Ringwald, Justin Henry, Michael Schoeffling, Haviland Morris",tt0088128,John Hughes,John Hughes,2 wins & 1 nomination.,Sixteen Candles,PG,70498.0,7.2,movie,"Comedy, Romance",04 May 1984,http://ia.media-imdb.com/images/M/MV5BMTgzNTkxMTkxMl5BMl5BanBnXkFtZTgwMjE3NjkzMTE@._V1_SX300.jpg,93.0,57.0,English,USA
56fb965e71a0650fe4339610,True,"Chuck Norris, M. Emmet Walsh, David Tress, Lenore Kasdorf",tt0087727,Joseph Zito,"Arthur Silver (characters), Larry Levinson (characters), Steve Bing (characters), James Bruner (screenplay), John Crowther (story), Lance Hool (story)",,Missing in Action,R,10117.0,5.3,movie,"Action, Adventure, Drama",16 Nov 1984,http://ia.media-imdb.com/images/M/MV5BODAyNTc5ODk0MV5BMl5BanBnXkFtZTcwNzkzNzA2NA@@._V1_SX300.jpg,101.0,0.0,"English, Vietnamese",USA
56fb965e71a0650fe4339611,True,"Howard E. Rollins Jr., Adolph Caesar, Art Evans, David Alan Grier",tt0088146,Norman Jewison,"Charles Fuller (screenplay), Charles Fuller (play)",Nominated for 3 Oscars. Another 5 wins & 6 nominations.,A Soldier's Story,PG,6373.0,7.2,movie,"Crime, Drama, Mystery",02 Nov 1984,http://ia.media-imdb.com/images/M/MV5BMTI3NTEwMjgxNF5BMl5BanBnXkFtZTcwNjgyMTkyMQ@@._V1_SX300.jpg,101.0,0.0,English,USA
56fb965e71a0650fe4339612,True,"Rachel Ward, Jeff Bridges, James Woods, Alex Karras",tt0086859,Taylor Hackford,"Eric Hughes, Daniel Mainwaring",Nominated for 1 Oscar. Another 2 wins & 2 nominations.,Against All Odds,R,7845.0,5.9,movie,"Action, Adventure, Crime",02 Mar 1984,http://ia.media-imdb.com/images/M/MV5BMTAyNjQ3MzI3MDFeQTJeQWpwZ15BbWU3MDAwMDIwMzE@._V1_SX300.jpg,128.0,42.0,English,USA
56fb965e71a0650fe4339613,True,"George Burns, Ted Wass, Ron Silver, Roxanne Hart",tt0087835,Paul Bogart,"Andrew Bergman, Avery Corman (novel)",1 nomination.,"Oh, God! You Devil",PG,1812.0,5.3,movie,"Comedy, Fantasy",09 Nov 1984,http://ia.media-imdb.com/images/M/MV5BMjE2MjcwOTIwMF5BMl5BanBnXkFtZTcwNDM0NDcyMQ@@._V1_SX300.jpg,97.0,0.0,English,USA
56fb965e71a0650fe4339614,True,"Sylvester Stallone, Dolly Parton, Richard Farnsworth, Tim Thomerson",tt0088001,Bob Clark,"Phil Alden Robinson (story), Phil Alden Robinson (screenplay), Sylvester Stallone (screenplay)",2 wins & 8 nominations.,Rhinestone,PG,5530.0,3.6,movie,"Comedy, Music",22 Jun 1984,http://ia.media-imdb.com/images/M/MV5BMTkwMTg5NzMxN15BMl5BanBnXkFtZTcwMjA3MDgyMQ@@._V1_SX300.jpg,111.0,0.0,English,USA
56fb965e71a0650fe4339615,True,"D.W. Brown, Peter Ellenstein, Patrick Houser, Chip McAllister",tt0088385,Lawrence Bassoff,Lawrence Bassoff,,Weekend Pass,R,327.0,3.7,movie,Comedy,03 Feb 1984,http://ia.media-imdb.com/images/M/MV5BMTQxNzI5OTk1N15BMl5BanBnXkFtZTcwMjc4NTczMQ@@._V1_SX300.jpg,88.0,0.0,English,USA
56fb965e71a0650fe4339616,True,"Val Kilmer, Lucy Gutteridge, Peter Cushing, Jeremy Kemp",tt0088286,"Jim Abrahams, David Zucker, Jerry Zucker","Jim Abrahams, David Zucker, Jerry Zucker, Martyn Burke",,Top Secret!,PG,45075.0,7.2,movie,Comedy,08 Jun 1984,http://ia.media-imdb.com/images/M/MV5BMTU1NDQ3NDAyNF5BMl5BanBnXkFtZTcwOTY0NTMyMQ@@._V1_SX300.jpg,90.0,0.0,"English, German, Yiddish","USA, UK"
56fb965e71a0650fe4339617,True,"David Naughton, Patrick Houser, Tracy Smith, John Patrick Reger",tt0087425,Peter Markle,Mike Marvin,,Hot Dog... The Movie,R,2291.0,4.7,movie,"Comedy, Romance, Sport",13 Jan 1984,http://ia.media-imdb.com/images/M/MV5BMjE0MDUzNzAzOV5BMl5BanBnXkFtZTcwMjcyODE0NA@@._V1_SX300.jpg,96.0,0.0,English,USA
56fb965e71a0650fe4339618,True,"Barret Oliver, Gerald McRaney, Chris Eastman, Darryl Cooksey",tt0088323,Wolfgang Petersen,"Wolfgang Petersen (screenplay), Herman Weigel (screenplay), Michael Ende (novel), Robert Easton (additional dialogue)",5 wins & 7 nominations.,The NeverEnding Story,PG,96334.0,7.4,movie,"Adventure, Drama, Family",20 Jul 1984,http://ia.media-imdb.com/images/M/MV5BMTI3MDA3NTQ0MF5BMl5BanBnXkFtZTcwNDEwMDMyMQ@@._V1_SX300.jpg,102.0,46.0,English,"West Germany, USA"
56fb965e71a0650fe4339619,True,"Dudley Moore, Eddie Murphy, Kate Capshaw, George Dzundza",tt0086955,Willard Huyck,"Robert Grossbach (novel), Gloria Katz, Willard Huyck",1 nomination.,Best Defense,R,4588.0,3.5,movie,"Comedy, War",20 Jul 1984,http://ia.media-imdb.com/images/M/MV5BMjAzMjM5NzY1Nl5BMl5BanBnXkFtZTcwMTU4ODUyMQ@@._V1_SX300.jpg,94.0,0.0,English,USA
56fb965e71a0650fe433961a,True,"Michael Caine, Joseph Bologna, Valerie Harper, Michelle Johnson",tt0159539,Stanley Donen,"Charlie Peters (screenplay), Larry Gelbart (screenplay)",1 nomination.,Blame It on Rio,R,7874.0,5.7,movie,"Comedy, Romance",17 Feb 1984,http://ia.media-imdb.com/images/M/MV5BMzg1NTYzODMzNF5BMl5BanBnXkFtZTcwNDYwMTUyMQ@@._V1_SX300.jpg,100.0,0.0,English,USA
56fb965e71a0650fe433961b,True,"Tom Selleck, Jane Seymour, Lauren Hutton, Bob Hoskins",tt0087589,Roger Young,David Taylor,,Lassiter,R,1534.0,5.9,movie,"Action, Crime, Drama",17 Feb 1984,http://ia.media-imdb.com/images/M/MV5BOTY1MDc5NDI1M15BMl5BanBnXkFtZTcwOTkzMTYyMQ@@._V1_SX300.jpg,100.0,0.0,English,USA
56fb965e71a0650fe433961c,True,"Cliff Gorman, Susan Tyrrell, Dick Shawn, Rory Calhoun",tt0086896,Robert Vincent O'Neill,"Robert Vincent O'Neill, Joseph Michael Cala",1 win.,Angel,R,1745.0,5.6,movie,"Action, Crime, Thriller",13 Jan 1984,http://ia.media-imdb.com/images/M/MV5BMTY0ODUyMDcwMF5BMl5BanBnXkFtZTcwMjUwNjAzMQ@@._V1_SX300.jpg,94.0,0.0,English,USA
56fb965e71a0650fe433961d,True,"Michael Keaton, Joe Piscopo, Marilu Henner, Maureen Stapleton",tt0087507,Amy Heckerling,"Harry Colomby, Jeff Harris, Bernie Kukoff, Norman Steinberg",,Johnny Dangerously,PG-13,10751.0,6.4,movie,"Action, Comedy, Crime",21 Dec 1984,http://ia.media-imdb.com/images/M/MV5BMTYxMDYzMzk4NV5BMl5BanBnXkFtZTcwMDkwNTMyMQ@@._V1_SX300.jpg,90.0,0.0,English,USA
56fb965e71a0650fe433961e,True,"David Keith, Drew Barrymore, Freddie Jones, Heather Locklear",tt0087262,Mark L. Lester,"Stephen King (novel), Stanley Mann",2 nominations.,Firestarter,R,22179.0,6.0,movie,"Action, Horror, Sci-Fi",11 May 1984,http://ia.media-imdb.com/images/M/MV5BMTk2Mjk3MTI4NF5BMl5BanBnXkFtZTcwOTE3ODMyMQ@@._V1_SX300.jpg,114.0,0.0,English,USA
56fb965e71a0650fe433961f,True,"Rae Dawn Chong, Guy Davis, Jon Chardiet, Leon W. Grant",tt0086946,Stan Lathan,"Steven Hager (story), Andrew Davis (screenplay), David Gilbert (screenplay), Paul Golding (screenplay)",,Beat Street,PG,2495.0,6.5,movie,"Drama, Music",08 Jun 1984,http://ia.media-imdb.com/images/M/MV5BMTM4NTg2NDA3N15BMl5BanBnXkFtZTcwODM0NjgyNA@@._V1_SX300.jpg,105.0,0.0,English,USA
